epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,1815.72,0.47996,2.70327,1.1463,0.00631,0.06594,0.01595,0.0119,1.02177,3.2275,1.4841,8.9118e-06,8.9118e-06,8.9118e-06
53,1849.73,0.47997,2.6996,1.14458,0.00618,0.06714,0.01542,0.01192,1.01519,3.24456,1.46958,8.7336e-06,8.7336e-06,8.7336e-06
54,1884.64,0.48637,2.67823,1.14685,0.00653,0.06314,0.01632,0.01184,0.99856,3.22738,1.45642,8.5554e-06,8.5554e-06,8.5554e-06
55,1921.02,0.48998,2.67089,1.14858,0.00506,0.05736,0.01459,0.01145,1.0023,3.21605,1.46421,8.3772e-06,8.3772e-06,8.3772e-06
56,1954.84,0.47914,2.63768,1.14281,0.00609,0.0597,0.01527,0.01224,1.00438,3.22434,1.4662,8.199e-06,8.199e-06,8.199e-06
57,1988.92,0.48363,2.64016,1.14485,0.00593,0.06692,0.01297,0.00962,0.99307,3.2129,1.44706,8.0208e-06,8.0208e-06,8.0208e-06
58,2023.41,0.48025,2.66328,1.14005,0.00658,0.06268,0.01695,0.01317,0.99753,3.21635,1.46019,7.8426e-06,7.8426e-06,7.8426e-06
59,2058.27,0.47751,2.6344,1.14237,0.00772,0.06974,0.01721,0.01349,1.01572,3.21079,1.4706,7.6644e-06,7.6644e-06,7.6644e-06
60,2092.65,0.479,2.60851,1.1387,0.00639,0.06305,0.01703,0.01344,1.00333,3.2121,1.46626,7.4862e-06,7.4862e-06,7.4862e-06
61,2127.56,0.48254,2.61543,1.14286,0.0053,0.06141,0.01373,0.0104,1.00522,3.21303,1.46405,7.308e-06,7.308e-06,7.308e-06
62,2161.43,0.47389,2.60495,1.13815,0.00583,0.06747,0.01517,0.01167,0.99412,3.19097,1.45189,7.1298e-06,7.1298e-06,7.1298e-06
63,2195.66,0.47203,2.61666,1.13755,0.00668,0.06962,0.01524,0.01156,1.00425,3.19208,1.46742,6.9516e-06,6.9516e-06,6.9516e-06
64,2229.73,0.47786,2.58468,1.13679,0.00676,0.07501,0.01426,0.01064,0.98431,3.17534,1.45155,6.7734e-06,6.7734e-06,6.7734e-06
65,2263.88,0.4814,2.60404,1.13998,0.00732,0.07748,0.01479,0.0112,1.00456,3.17628,1.45816,6.5952e-06,6.5952e-06,6.5952e-06
66,2302.47,0.4705,2.58807,1.13334,0.00742,0.07653,0.0137,0.01038,0.99931,3.18085,1.44986,6.417e-06,6.417e-06,6.417e-06
67,2336.36,0.47251,2.58291,1.1342,0.00789,0.08464,0.01468,0.01042,0.99297,3.1775,1.44476,6.2388e-06,6.2388e-06,6.2388e-06
68,2370.45,0.47428,2.55835,1.13381,0.00628,0.07255,0.01451,0.01092,0.99786,3.17356,1.45434,6.0606e-06,6.0606e-06,6.0606e-06
69,2404.49,0.47301,2.55985,1.13328,0.00653,0.06796,0.0133,0.01034,1.00454,3.17209,1.46277,5.8824e-06,5.8824e-06,5.8824e-06
70,2438.31,0.46708,2.54704,1.1299,0.00669,0.07718,0.01505,0.01154,1.00375,3.15752,1.46022,5.7042e-06,5.7042e-06,5.7042e-06
71,2472.69,0.47138,2.55119,1.13512,0.00611,0.06451,0.01548,0.01241,0.98995,3.16225,1.45146,5.526e-06,5.526e-06,5.526e-06
72,2508.3,0.47264,2.53032,1.13214,0.00638,0.06145,0.01343,0.0105,1.00496,3.16733,1.45591,5.3478e-06,5.3478e-06,5.3478e-06
73,2544.94,0.47075,2.55158,1.13351,0.00645,0.06335,0.01528,0.0119,0.99696,3.15385,1.45221,5.1696e-06,5.1696e-06,5.1696e-06
74,2578.85,0.46834,2.54176,1.12962,0.00693,0.07186,0.01483,0.01117,0.99426,3.16267,1.46035,4.9914e-06,4.9914e-06,4.9914e-06
75,2612.88,0.47043,2.50021,1.12879,0.00691,0.06848,0.01666,0.01269,0.99177,3.14235,1.45131,4.8132e-06,4.8132e-06,4.8132e-06
76,2648.31,0.47194,2.53473,1.1308,0.00759,0.08003,0.0184,0.01348,0.99976,3.15546,1.45292,4.635e-06,4.635e-06,4.635e-06
77,2685,0.47098,2.53439,1.13066,0.00744,0.07193,0.01707,0.01262,1.00015,3.12265,1.46039,4.4568e-06,4.4568e-06,4.4568e-06
78,2718.88,inf,2.52958,1.13387,0.00754,0.08253,0.01706,0.01251,0.99224,3.14594,1.45133,4.2786e-06,4.2786e-06,4.2786e-06
79,2752.79,0.46414,2.52918,1.12641,0.00757,0.08356,0.01622,0.01156,0.99015,3.14809,1.44937,4.1004e-06,4.1004e-06,4.1004e-06
80,2786.78,0.4663,2.48336,1.1243,0.00708,0.07836,0.01798,0.01318,0.98843,3.15974,1.44562,3.9222e-06,3.9222e-06,3.9222e-06
81,2820.8,0.46792,2.51115,1.12877,0.00725,0.08317,0.01878,0.01308,0.99412,3.15205,1.44695,3.744e-06,3.744e-06,3.744e-06
82,2854.61,0.47172,2.4694,1.13095,0.00641,0.08359,0.01801,0.01228,0.99158,3.15044,1.44517,3.5658e-06,3.5658e-06,3.5658e-06
83,2888.73,0.46778,2.49462,1.12972,0.00711,0.07836,0.0187,0.0134,1.00063,3.15607,1.45678,3.3876e-06,3.3876e-06,3.3876e-06
84,2922.72,0.46839,2.47334,1.12672,0.00641,0.07888,0.0172,0.01195,0.99755,3.14749,1.45274,3.2094e-06,3.2094e-06,3.2094e-06
85,2956.78,0.4666,2.48307,1.12863,0.00694,0.07295,0.0167,0.01236,1.0015,3.14121,1.45618,3.0312e-06,3.0312e-06,3.0312e-06
86,2990.82,0.46581,2.48281,1.12584,0.00687,0.07524,0.01603,0.01151,0.99577,3.12604,1.45211,2.853e-06,2.853e-06,2.853e-06
87,3024.8,0.46699,2.46988,1.12463,0.00651,0.07309,0.01745,0.0129,0.99416,3.12926,1.45052,2.6748e-06,2.6748e-06,2.6748e-06
